Date,Natural_Gas,Crude_Oil_WTI,NY_Gasoline,Heating_Oil,Diesel,Weekday_Friday,Weekday_Monday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,Covid
1997-01-08,-0.005249355886143725,0.011363758650315248,-0.002840911001603774,0.010914160180678478,-0.006600684031352055,0,0,0,0,1,0
1997-01-09,-0.05129329438755037,-0.009460808504229146,-0.024479264084779517,-0.001357773460460343,0,0,0,1,0,0,0
1997-01-10,0.08238388145758146,-0.005719748672786906,-0.005847969882423143,-0.012303641195356874,-0.00931477127454744,1,0,0,0,0,0
1997-01-13,0.020202707317519497,-0.03700519599355445,-0.03734563935885166,-0.037846142490114754,-0.006706933256718117,0,1,0,0,0,0
1997-01-14,0.0024968801985871814,-0.003976148379639,-0.013793322132335806,-0.008608374536600183,-0.004045858519543699,0,0,0,1,0,0
1997-01-15,0.07908310679383579,0.03330376347415909,0.019863143499411595,0.029810582187203172,-0.009504484311563977,0,0,0,0,1,0
1997-01-16,0.0818135599160128,-0.019455866615365913,0.0030211503341762147,-0.02120220765060299,0.020257276087825793,0,0,1,0,0,0
1997-01-17,-0.18615053403105186,-0.0019665689720409496,-0.007570058860545292,-0.020202707317519275,0,1,0,0,0,0,0
1997-01-20,-0.18181017861865834,-0.011881327886752224,-0.013772214621227241,-0.022108490754203458,-0.004018759594917765,0,1,0,0,0,0
1997-01-21,-0.08645380797602109,-0.012024192966801905,0.01225130178052053,-0.02108511848707134,-0.006734032181344052,0,0,0,1,0,0
1997-01-22,0.019868203216725222,-0.016260520871780315,0.016604155052035274,0.019593693900401277,0,0,0,0,0,1,0
1997-01-23,-0.029952322283351318,-0.022798914964806016,0.010424517335884065,-0.01201215644800352,0.0397403286495141,0,0,1,0,0,0
1997-01-24,-0.12201495056296341,0,-0.008928630744301336,0.006024114603380926,0.006472514505617477,1,0,0,0,0,0
1997-01-27,0.12874898274430746,0,-0.0029940142126047564,0.008968669982760413,0.02924556809646181,0,1,0,0,0,0
1997-01-28,0.023218290102007266,0.002094241603114888,-0.012066511413116487,-0.008968669982760413,0.04292504471703382,0,0,0,1,0,0
1997-01-29,-0.046988509435919035,0.02479465861321639,0.018045602469174582,0.03249916739295439,0.014302985190331158,0,0,0,0,1,0
1997-01-30,-0.017331456351640018,0.012170535620255052,0.026472134041976625,0.022989518224698746,0.04625101765075572,0,0,1,0,0,0
1997-01-31,-0.03197430463251405,-0.026559273072354728,-0.030953097477012692,-0.024444063935692928,-0.013652089168327317,1,0,0,0,0,0
1997-02-03,-0.10656460972263082,0.0020682530640590002,0.005970166986503822,-0.014663019310074354,-0.015003166592048811,0,1,0,0,0,0
1997-02-04,0.03937516523482998,-0.008298802814695083,-0.004474280394921093,-0.022405716975266776,0,0,0,0,1,0,0
1997-02-05,0.022901764286684445,-0.004175371410480633,-0.018100041643618003,-0.015220994010355315,0,0,0,0,0,1,0
1997-02-06,-0.05427688685443832,-0.03621268949480738,-0.03563506404738459,-0.031155167779795545,-0.019965431245697968,0,0,1,0,0,0
1997-02-07,-0.04898938720027313,-0.03307909097658479,-0.03205402629008347,-0.014342875359404261,-0.009535233150999994,1,0,0,0,0,0
1997-02-10,0.012474174225175716,0.006703935722190302,0.004874095758245323,0.020652044552669002,-0.012048338516174512,0,1,0,0,0,0
1997-02-11,-0.033616610798985036,-0.004464293128685348,0.011281344464039889,0.003139720004667723,-0.024541108916117493,0,0,0,1,0,0
1997-02-12,0.033616610798985036,-0.027212563524884992,-0.014528100562909818,-0.0015686277726265074,0,0,0,0,0,1,0
1997-02-13,-0.08626034428440688,0.015963850989014094,0.004866189651172914,-0.01901800583576191,-0.012500162764231465,0,0,1,0,0,0
1997-02-14,-0.04609110720026699,0.013483350337287092,0.01764279924274975,0.011137744410455952,0,1,0,0,0,0,0
1997-02-18,-0.1416505170630269,0.004454350349380132,0,-0.024020370241469635,-0.006309169193264741,0,0,0,1,0,0
1997-02-19,0.05806380095476116,0.006644542718668767,0.006339165443735695,-0.024611578596566763,-0.019169916107720203,0,0,0,0,1,0
1997-02-20,-0.015504186535965303,-0.03139271240786279,-0.033738139631850184,-0.03378699757738324,0,0,0,1,0,0,0
1997-02-21,0,-0.01607382483106079,-0.0065574005461590534,-0.0017196908795266141,-0.04216698463558788,1,0,0,0,0,0
1997-02-24,0,-0.0281708769666964,-0.031748698314580326,-0.04218551692462702,-0.013550342831107676,0,1,0,0,0,0
1997-02-25,-0.08134563945395235,-0.0023837913552764434,0.036670775520008636,0.028320476787455306,-0.02486315919264387,0,0,0,1,0,0
1997-02-26,0.022347298691996587,0.007134394113874176,-0.0016380020042383592,-0.007005282588408601,0,0,0,0,0,1,0
1997-02-27,-0.005540180375615322,-0.01432005377474832,0.004905978768854458,-0.010600805986640593,0.020761991448429218,0,0,1,0,0,0
1997-02-28,-0.011173300598125269,-0.02433210065953073,-0.019770001401003823,-0.025181186630159558,0,1,0,0,0,0,0
1997-03-03,0.011173300598125269,-0.0024660924951933616,-0.010033528989577878,-0.020239881347746236,-0.02777956410707577,0,1,0,0,0,0
1997-03-04,0.038151765964376305,0.024391453124159135,0.018318580523684735,-0.007462721201589528,0.02777956410707577,0,0,0,1,0,0
1997-03-05,0.026386755173194776,-0.012121360532344916,0.006578971098042508,-0.018904154639152737,-0.00687287928776209,0,0,0,0,1,0
1997-03-06,-0.05348868495098613,0.02409755157906046,0.009788006366162838,0.018904154639152737,0.013698844358161932,0,0,1,0,0,0
1997-03-07,0.03774032798284699,0.016529301951210496,0.022472855852058604,0.011173300598125158,-0.002724797326185191,1,0,0,0,0,0
1997-03-10,0.031252543504104446,-0.04062685353027096,-0.016000341346441127,-0.02058070770002063,-0.004101167744214651,0,1,0,0,0,0
1997-03-11,-0.015504186535965303,-0.01722059775167084,-0.019544596072970266,-0.0056872191205895595,0,0,0,0,1,0,0
