"","Date","Natural_Gas","Crude_Oil_WTI","NY_Gasoline","Heating_Oil","Diesel"
"1",1997-01-08,-0.00524935588614373,0.0113637586503152,-0.00284091100160377,0.0109141601806785,-0.00660068403135206
"2",1997-01-09,-0.0512932943875504,-0.00946080850422915,-0.0244792640847795,-0.00135777346046034,0
"3",1997-01-10,0.0823838814575815,-0.00571974867278691,-0.00584796988242314,-0.0123036411953569,-0.00931477127454744
"4",1997-01-13,0.0202027073175195,-0.0370051959935545,-0.0373456393588517,-0.0378461424901148,-0.00670693325671812
"5",1997-01-14,0.00249688019858718,-0.003976148379639,-0.0137933221323358,-0.00860837453660018,-0.0040458585195437
"6",1997-01-15,0.0790831067938358,0.0333037634741591,0.0198631434994116,0.0298105821872032,-0.00950448431156398
"7",1997-01-16,0.0818135599160128,-0.0194558666153659,0.00302115033417621,-0.021202207650603,0.0202572760878258
"8",1997-01-17,-0.186150534031052,-0.00196656897204095,-0.00757005886054529,-0.0202027073175193,0
"9",1997-01-20,-0.181810178618658,-0.0118813278867522,-0.0137722146212272,-0.0221084907542035,-0.00401875959491776
"10",1997-01-21,-0.0864538079760211,-0.0120241929668019,0.0122513017805205,-0.0210851184870713,-0.00673403218134405
"11",1997-01-22,0.0198682032167252,-0.0162605208717803,0.0166041550520353,0.0195936939004013,0
"12",1997-01-23,-0.0299523222833513,-0.022798914964806,0.0104245173358841,-0.0120121564480035,0.0397403286495141
"13",1997-01-24,-0.122014950562963,0,-0.00892863074430134,0.00602411460338093,0.00647251450561748
"14",1997-01-27,0.128748982744307,0,-0.00299401421260476,0.00896866998276041,0.0292455680964618
"15",1997-01-28,0.0232182901020073,0.00209424160311489,-0.0120665114131165,-0.00896866998276041,0.0429250447170338
"16",1997-01-29,-0.046988509435919,0.0247946586132164,0.0180456024691746,0.0324991673929544,0.0143029851903312
"17",1997-01-30,-0.01733145635164,0.0121705356202551,0.0264721340419766,0.0229895182246987,0.0462510176507557
"18",1997-01-31,-0.0319743046325141,-0.0265592730723547,-0.0309530974770127,-0.0244440639356929,-0.0136520891683273
"19",1997-02-03,-0.106564609722631,0.002068253064059,0.00597016698650382,-0.0146630193100744,-0.0150031665920488
"20",1997-02-04,0.03937516523483,-0.00829880281469508,-0.00447428039492109,-0.0224057169752668,0
"21",1997-02-05,0.0229017642866844,-0.00417537141048063,-0.018100041643618,-0.0152209940103553,0
"22",1997-02-06,-0.0542768868544383,-0.0362126894948074,-0.0356350640473846,-0.0311551677797955,-0.019965431245698
"23",1997-02-07,-0.0489893872002731,-0.0330790909765848,-0.0320540262900835,-0.0143428753594043,-0.00953523315099999
"24",1997-02-10,0.0124741742251757,0.0067039357221903,0.00487409575824532,0.020652044552669,-0.0120483385161745
"25",1997-02-11,-0.033616610798985,-0.00446429312868535,0.0112813444640399,0.00313972000466772,-0.0245411089161175
"26",1997-02-12,0.033616610798985,-0.027212563524885,-0.0145281005629098,-0.00156862777262651,0
"27",1997-02-13,-0.0862603442844069,0.0159638509890141,0.00486618965117291,-0.0190180058357619,-0.0125001627642315
"28",1997-02-14,-0.046091107200267,0.0134833503372871,0.0176427992427498,0.011137744410456,0
"29",1997-02-18,-0.141650517063027,0.00445435034938013,0,-0.0240203702414696,-0.00630916919326474
"30",1997-02-19,0.0580638009547612,0.00664454271866877,0.00633916544373569,-0.0246115785965668,-0.0191699161077202
"31",1997-02-20,-0.0155041865359653,-0.0313927124078628,-0.0337381396318502,-0.0337869975773832,0
"32",1997-02-21,0,-0.0160738248310608,-0.00655740054615905,-0.00171969087952661,-0.0421669846355879
"33",1997-02-24,0,-0.0281708769666964,-0.0317486983145803,-0.042185516924627,-0.0135503428311077
"34",1997-02-25,-0.0813456394539523,-0.00238379135527644,0.0366707755200086,0.0283204767874553,-0.0248631591926439
"35",1997-02-26,0.0223472986919966,0.00713439411387418,-0.00163800200423836,-0.0070052825884086,0
"36",1997-02-27,-0.00554018037561532,-0.0143200537747483,0.00490597876885446,-0.0106008059866406,0.0207619914484292
"37",1997-02-28,-0.0111733005981253,-0.0243321006595307,-0.0197700014010038,-0.0251811866301596,0
"38",1997-03-03,0.0111733005981253,-0.00246609249519336,-0.0100335289895779,-0.0202398813477462,-0.0277795641070758
"39",1997-03-04,0.0381517659643763,0.0243914531241591,0.0183185805236847,-0.00746272120158953,0.0277795641070758
"40",1997-03-05,0.0263867551731948,-0.0121213605323449,0.00657897109804251,-0.0189041546391527,-0.00687287928776209
"41",1997-03-06,-0.0534886849509861,0.0240975515790605,0.00978800636616284,0.0189041546391527,0.0136988443581619
"42",1997-03-07,0.037740327982847,0.0165293019512105,0.0224728558520586,0.0111733005981252,-0.00272479732618519
"43",1997-03-10,0.0312525435041044,-0.040626853530271,-0.0160003413464411,-0.0205807077000206,-0.00410116774421465
"44",1997-03-11,-0.0155041865359653,-0.0172205977516708,-0.0195445960729703,-0.00568721912058956,0
"45",1997-03-12,0.0206192872027356,0.0220867874028436,0.00819005397004441,0.0206968817711548,0.0108992904580357
"46",1997-03-13,0.010152371464018,0.0024242436115065,-0.00654666822631439,0.0092679069307815,0.0227739246485522
"47",1997-03-14,-0.0050633019565467,0.0309917533083377,0.0146701897477938,0.0200920000826886,0
"48",1997-03-17,0.0201011793210871,-0.0189579137446145,-0.00649352931054831,-0.0127390257774297,0
"49",1997-03-18,-0.0510314800124458,0.051293294387551,0.019355442952956,0.028882874148786,0
"50",1997-03-19,-0.0158314652166807,0,0.00795549144111463,0.00177777824599912,0.0131580845775112
