"","mean","median","sd","min","max","period"
"Crude_Oil_WTI Diesel",0.695629769616534,0.715047686524785,0.192593389192301,0.0585016022307123,1.15567256295918,"gfc"
"Crude_Oil_WTI Heating_Oil",0.720136873664931,0.748727290734443,0.204738811107382,0.0712727782858842,1.181474602958,"gfc"
"Crude_Oil_WTI Natural_Gas",0.158263800596774,0.116237101785408,0.209089611048226,-0.319106267879431,0.928525962203433,"gfc"
"Crude_Oil_WTI NY_Gasoline",0.832020953914156,0.853929803301318,0.202704803156862,0.17261814984876,1.29513625895289,"gfc"
"Diesel Crude_Oil_WTI",0.884207591246316,0.842513249130568,0.296415228155799,0.434443514798872,2.8250766467561,"gfc"
"Diesel Heating_Oil",0.864431201065592,0.867025237670602,0.10059499920864,0.517555816508698,1.16111515419631,"gfc"
"Diesel Natural_Gas",0.178640200184497,0.14935237841169,0.211501159255187,-0.375462100854326,1.00982820881498,"gfc"
"Diesel NY_Gasoline",0.896526756908569,0.882740620140361,0.145261836288652,0.504513594031539,1.33819718083176,"gfc"
"Heating_Oil Crude_Oil_WTI",0.998210344528797,0.941134264790982,0.319252446891181,0.508695552718993,2.9697831463034,"gfc"
"Heating_Oil Diesel",0.948145767476457,0.948281631550058,0.104635378819211,0.619836063623219,1.70929067258361,"gfc"
"Heating_Oil Natural_Gas",0.196078189519305,0.187601607893706,0.203038690531883,-0.437638524199501,0.999753057425778,"gfc"
"Heating_Oil NY_Gasoline",1.00643575155151,1.00777331332198,0.197776150259408,0.464093575023424,2.56947491216599,"gfc"
"Natural_Gas Crude_Oil_WTI",0.119523250842618,0.0796128780122204,0.238451083744607,-0.247178733657993,1.89511325307845,"gfc"
"Natural_Gas Diesel",0.095550195227415,0.0942339123227207,0.0890270549243146,-0.0962274459415611,0.363114911561715,"gfc"
"Natural_Gas Heating_Oil",0.0972700470431438,0.0912181075279669,0.0931748444540392,-0.127558325066129,0.398194718432822,"gfc"
"Natural_Gas NY_Gasoline",0.120205852088164,0.0936920743514168,0.170192924934162,-0.319155490975363,0.93377073707138,"gfc"
"NY_Gasoline Crude_Oil_WTI",0.666726798673657,0.696600643320912,0.187353697886077,0.128583657400176,1.51125914185897,"gfc"
"NY_Gasoline Diesel",0.573100537087928,0.596044914006615,0.139817629197248,0.0987126095198862,0.845726059069291,"gfc"
"NY_Gasoline Heating_Oil",0.58227839505667,0.594977129729105,0.144027594409904,0.109705617297497,0.935895755014219,"gfc"
"NY_Gasoline Natural_Gas",0.127743219759322,0.116112081110104,0.168312690438275,-0.448231867755591,0.794721146664385,"gfc"
